nome,url
"dragonstone","https://wiki.pokememories.com/images/itens/dragonstone.png"
"tds","https://wiki.pokememories.com/images/itens/tds.png"
"phanpy","https://wiki.pokememories.com/images/pokemons/phanpy.png"
"ultraballs","https://wiki.pokememories.com/images/itens/ultraballs.png"
"drapion","https://wiki.pokememories.com/images/pokemons/drapion.png"
"booststone","https://wiki.pokememories.com/images/itens/booststone.png"
"tds","https://wiki.pokememories.com/images/itens/tds.png"
"sneasel","https://wiki.pokememories.com/images/pokemons/sneasel.png"
"vip","https://wiki.pokememories.com/images/itens/vip.png"
"abomasnow","https://wiki.pokememories.com/images/pokemons/abomasnow.png"
"pinkapricorns","https://wiki.pokememories.com/images/itens/pinkapricorns.png"
"tds","https://wiki.pokememories.com/images/itens/tds.png"
"gible","https://wiki.pokememories.com/images/pokemons/gible.png"
"redapricorns","https://wiki.pokememories.com/images/itens/redapricorns.png"
"addonboxsuper","https://wiki.pokememories.com/images/itens/addonboxsuper.png"
"misdreavus","https://wiki.pokememories.com/images/pokemons/misdreavus.png"
"blueapricorns","https://wiki.pokememories.com/images/itens/blueapricorns.png"
"booststone","https://wiki.pokememories.com/images/itens/booststone.png"
"torterra","https://wiki.pokememories.com/images/pokemons/torterra.png"
"greenapricorns","https://wiki.pokememories.com/images/itens/greenapricorns.png"
"tds","https://wiki.pokememories.com/images/itens/tds.png"
"chansey","https://wiki.pokememories.com/images/pokemons/chansey.png"
"incubator","https://wiki.pokememories.com/images/itens/incubator.png"
"berrypot","https://wiki.pokememories.com/images/itens/berrypot.png"
"stantler","https://wiki.pokememories.com/images/pokemons/stantler.png"
"booststone","https://wiki.pokememories.com/images/itens/booststone.png"
"tds","https://wiki.pokememories.com/images/itens/tds.png"
"bellossom","https://wiki.pokememories.com/images/pokemons/bellossom.png"
"bikeverde","https://wiki.pokememories.com/images/itens/bikeverde.png"
"booststone","https://wiki.pokememories.com/images/itens/booststone.png"
"waterstone","https://wiki.pokememories.com/images/pokemons/waterstone.png"
"addonboxsuper","https://wiki.pokememories.com/images/itens/addonboxsuper.png"
"tds","https://wiki.pokememories.com/images/itens/tds.png"
"arcanine","https://wiki.pokememories.com/images/pokemons/arcanine.png"
"booststone","https://wiki.pokememories.com/images/itens/booststone.png"
"premierball","https://wiki.pokememories.com/images/itens/premierball.png"
"jigglypuff","https://wiki.pokememories.com/images/pokemons/jigglypuff.png"
"bikerosa","https://wiki.pokememories.com/images/itens/bikerosa.png"
"addonboxsuper","https://wiki.pokememories.com/images/itens/addonboxsuper.png"
"forretress","https://wiki.pokememories.com/images/pokemons/forretress.png"
"booststone","https://wiki.pokememories.com/images/itens/booststone.png"
"addonboxsuper","https://wiki.pokememories.com/images/itens/addonboxsuper.png"
"wobbuffet","https://wiki.pokememories.com/images/pokemons/wobbuffet.png"
"shinycharm","https://wiki.pokememories.com/images/itens/shinycharm.png"
"booststone","https://wiki.pokememories.com/images/itens/booststone.png"
"raichu","https://wiki.pokememories.com/images/pokemons/raichu.png"
"booststone","https://wiki.pokememories.com/images/itens/booststone.png"
"addonboxsuper","https://wiki.pokememories.com/images/itens/addonboxsuper.png"
"screws","https://wiki.pokememories.com/images/pokemons/screws.png"
"bikeamarela","https://wiki.pokememories.com/images/itens/bikeamarela.png"
"addonboxsuper","https://wiki.pokememories.com/images/itens/addonboxsuper.png"
"regice","https://wiki.pokememories.com/images/pokemons/regice.png"
"depotbox","https://wiki.pokememories.com/images/itens/depotbox.png"
"addonboxsuper","https://wiki.pokememories.com/images/itens/addonboxsuper.png"
"nosepass","https://wiki.pokememories.com/images/pokemons/nosepass.png"
"booststone","https://wiki.pokememories.com/images/itens/booststone.png"
"tds","https://wiki.pokememories.com/images/itens/tds.png"
"arbok","https://wiki.pokememories.com/images/pokemons/arbok.png"
"costumeboxshapechanger","https://wiki.pokememories.com/images/itens/costumeboxshapechanger.png"
"tds","https://wiki.pokememories.com/images/itens/tds.png"
"bottleofpoison","https://wiki.pokememories.com/images/pokemons/bottleofpoison.png"
"booststone","https://wiki.pokememories.com/images/itens/booststone.png"
"tds","https://wiki.pokememories.com/images/itens/tds.png"
"venomstone","https://wiki.pokememories.com/images/pokemons/venomstone.png"
"shinycharm","https://wiki.pokememories.com/images/itens/shinycharm.png"
"addonboxsuper","https://wiki.pokememories.com/images/itens/addonboxsuper.png"
"meowth","https://wiki.pokememories.com/images/pokemons/meowth.png"
"booststone","https://wiki.pokememories.com/images/itens/booststone.png"
"premierball","https://wiki.pokememories.com/images/itens/premierball.png"
"girafarig","https://wiki.pokememories.com/images/pokemons/girafarig.png"
"booststone","https://wiki.pokememories.com/images/itens/booststone.png"
"addonboxsuper","https://wiki.pokememories.com/images/itens/addonboxsuper.png"
"pidgeot","https://wiki.pokememories.com/images/pokemons/pidgeot.png"
"tds","https://wiki.pokememories.com/images/itens/tds.png"
"flour","https://wiki.pokememories.com/images/pokemons/flour.png"
"addonbox","https://wiki.pokememories.com/images/itens/addonbox.png"
"primeape","https://wiki.pokememories.com/images/pokemons/primeape.png"
"costumeboxshapechanger","https://wiki.pokememories.com/images/itens/costumeboxshapechanger.png"
"premierball","https://wiki.pokememories.com/images/itens/premierball.png"
"regirock","https://wiki.pokememories.com/images/pokemons/regirock.png"
"pokehouse","https://wiki.pokememories.com/images/itens/pokehouse.png"
"booststone","https://wiki.pokememories.com/images/itens/booststone.png"
"meganium","https://wiki.pokememories.com/images/pokemons/meganium.png"
"tds","https://wiki.pokememories.com/images/itens/tds.png"
"seeds","https://wiki.pokememories.com/images/pokemons/seeds.png"
"booststone","https://wiki.pokememories.com/images/itens/booststone.png"
"premierball","https://wiki.pokememories.com/images/itens/premierball.png"
"farfetchd","https://wiki.pokememories.com/images/pokemons/farfetchd.png"
"vip","https://wiki.pokememories.com/images/itens/vip.png"
"cradily","https://wiki.pokememories.com/images/pokemons/cradily.png"
"shinycharm","https://wiki.pokememories.com/images/itens/shinycharm.png"
"addonboxsuper","https://wiki.pokememories.com/images/itens/addonboxsuper.png"
"vulpix","https://wiki.pokememories.com/images/pokemons/vulpix.png"
"bikevermelha","https://wiki.pokememories.com/images/itens/bikevermelha.png"
"booststone","https://wiki.pokememories.com/images/itens/booststone.png"
"firestone","https://wiki.pokememories.com/images/pokemons/firestone.png"
"premierball","https://wiki.pokememories.com/images/itens/premierball.png"
"ledian","https://wiki.pokememories.com/images/pokemons/ledian.png"
"addonbox","https://wiki.pokememories.com/images/itens/addonbox.png"
"miltank","https://wiki.pokememories.com/images/pokemons/miltank.png"
"costumeboxshapechanger","https://wiki.pokememories.com/images/itens/costumeboxshapechanger.png"
"addonboxsuper","https://wiki.pokememories.com/images/itens/addonboxsuper.png"
"staryu","https://wiki.pokememories.com/images/pokemons/staryu.png"
"tds","https://wiki.pokememories.com/images/itens/tds.png"
"registeel","https://wiki.pokememories.com/images/pokemons/registeel.png"
"xp","https://wiki.pokememories.com/images/tasks/xp.webp"
"slugma","https://wiki.pokememories.com/images/pokemons/slugma.png"
"premierball","https://wiki.pokememories.com/images/itens/premierball.png"
"addonboxsuper","https://wiki.pokememories.com/images/itens/addonboxsuper.png"
"smallstone","https://wiki.pokememories.com/images/pokemons/smallstone.png"
"addonboxsuper","https://wiki.pokememories.com/images/itens/addonboxsuper.png"
"tds","https://wiki.pokememories.com/images/itens/tds.png"
"ponyta","https://wiki.pokememories.com/images/pokemons/ponyta.png"
"vip","https://wiki.pokememories.com/images/itens/vip.png"
"emboar","https://wiki.pokememories.com/images/pokemons/emboar.png"
"shinycharm","https://wiki.pokememories.com/images/itens/shinycharm.png"
"booststone","https://wiki.pokememories.com/images/itens/booststone.png"
"magcargo","https://wiki.pokememories.com/images/pokemons/magcargo.png"
"booststone","https://wiki.pokememories.com/images/itens/booststone.png"
"tds","https://wiki.pokememories.com/images/itens/tds.png"
"essencesoffire","https://wiki.pokememories.com/images/pokemons/essencesoffire.png"
"addonboxsuper","https://wiki.pokememories.com/images/itens/addonboxsuper.png"
"tds","https://wiki.pokememories.com/images/itens/tds.png"
"whismur","https://wiki.pokememories.com/images/pokemons/whismur.png"
"premierball","https://wiki.pokememories.com/images/itens/premierball.png"
"caterpie","https://wiki.pokememories.com/images/pokemons/caterpie.png"
"addonbox","https://wiki.pokememories.com/images/itens/addonbox.png"
"watergem","https://wiki.pokememories.com/images/pokemons/watergem.png"
"bikeice","https://wiki.pokememories.com/images/itens/bikeice.png"
"booststone","https://wiki.pokememories.com/images/itens/booststone.png"
"dragonstone","https://wiki.pokememories.com/images/pokemons/dragonstone.png"
"seledbox","https://wiki.pokememories.com/images/itens/seledbox.png"
"brokenstone","https://wiki.pokememories.com/images/pokemons/brokenstone.png"
"blessamulet","https://wiki.pokememories.com/images/itens/blessamulet.png"
"tds","https://wiki.pokememories.com/images/itens/tds.png"
"gloom","https://wiki.pokememories.com/images/pokemons/gloom.png"
"berrypot","https://wiki.pokememories.com/images/itens/berrypot.png"
"booststone","https://wiki.pokememories.com/images/itens/booststone.png"
"futureorb","https://wiki.pokememories.com/images/pokemons/futureorb.png"
